quote_text;quote_author
Nu exista experienta careia sa nu ii poti supravietui daca ai curajul sa infrunti viata; Octavian Paler
Daca tu crezi ca nu poti, ai dreptate. Daca tu crezi ca poti, din nou ai dreptate; Henry Ford
Nu te compara cu nimeni altcineva din lume. Daca o faci te jignesti pe tine; Bill Gates
Succesul inseamna a fi in stare sa mergi din esec in esec, fara sa iti pierzi entuziasmul; Winston Churchill
Traieste ca si cum ai muri maine. Invata ca si cum ai trai vesnic; Mahatma Gandhi
Nu spune niciodata nu se poate, ci incepe cu Sa Vedem; Nicolae Iorga
Nu spune niciodata nu se poate, ci incepe cu Sa Vedem; Nicolae Iorga
