challenge_text;challenge_target;challenge_advice
Mergi la o petrecere cu multi cunoscuti!;comunicare;Imbraca-te adecvat pentru locul respectiv, eventual cat mai comod si incearca sa comunici cu mai toata lumea, dar nu lucruri personale
Suna pe cineva pe care nu il cunosti prea bine si intreaba de telefonul unei persoane comune!;comunicare;Incearca sa nu fii incordat. Nimeni nu are nimic cu tine atat timp cat ceri politicos numarul cuiva cunoscut nimeni nu va avea nimic de rau de zis
Mananca un mar in fiecare zi timp de o saptamana!;sanatate;Pentru a te mentine sanatos si a te simti in forma, medicii recomanda un mar pe zi. Fa si tu asta timp de o saptamana si daca te simti mai bine fizic vorbind atunci nu te opri!
Hai la alergat! 30 minute dupa care te vei simti mult mai bine;sanatate;Hainele pe care le vei purta incearca sa nu te scoata prea mult in evidenta. Chiar daca obosesti mai repede macar incearca sa te plimbi mai mult
Mergi la un interviu de angajare chiar daca nu ai nevoie de un job nou.;stima de sine;Fii cat mai deschis si arata cat de multe informatii deti
Pune intrebari la o conferinta!;stima de sine;Demonstreaza ca esti in tema si atent si pune si tu o intrebare inteligenta la o conferinta. Gandeste-te bine si fi serios astfel incat oamenii sa iti raspunda la fel. Vei vedea ce bine i-ai facut sa se simta ca ai fost atent.
Intra intr-un proiect de grup!;interactiune;Oamenii pot fi diferiti si de aceea e bine sa cunosti cat mai multe tipuri astfel incat sa ii poti intui la un moment dat. Incearca sa vezi cum gandesc si sa ii intelegi chiar daca tie nu ti se pare neaparat normal ceea ce spun
Invita in oras o persoana pe care o admiri sau o indragesti;interactiune;Invitatia sa vina cat mai natural cu putinta si daca te refuza atunci incearca sa obti o alta data cand este disponibil/a
