question_text
Sa vorbesti la telefon in public
Participarea la activitati intr-un grup restrans
Mancatul in public
Vorbitul cu cineva superior ca autoritate
Sustinerea unei prezentari
Sa mergi la o petrecere
Sa lucrezi in timp ce altii te observa
Sa suni pe cineva pe care nu il cunosti prea bine
Sa folosesti o baie publica
Sa intri intr-o incapere unde ceilalti deja stau jos
Sa fii in centrul atentiei
Sa dai o petrecere
